,taxon_id,taxon_size,mean_cosine_score,taxon_base_path,taxon_level,level1taxon,fewer_than_or_equal_5items,more_than_0_5_diversity
160,1bd8be6f-fe5b-4b0b-a780-db1d873951b4,11,0.3217131197452545,/childcare-parenting/working-time-off-when-having-a-baby,3,"Parenting, childcare and children's services ",0,0
334,7fd6fd0f-92d7-4f3c-ad03-97d12220552e,75,0.32157638669013977,/transport/rolling-stock-passenger-trains,3,Transport,0,0
79,7a5e878e-2b0f-4c3f-9079-586590a1a194,1119,0.3215160071849823,/transport/maritime-accidents-and-serious-incidents,3,Transport,0,0
596,c8250d67-1e19-440c-9198-37221364d4fa,14,0.32147088646888733,/transport/bus-passenger-experience,4,Transport,0,0
243,c428fe9a-2726-4630-8d4e-fc656236cf20,163,0.3214482367038727,/transport/hs2-phase-2a,5,Transport,0,0
513,86db0cbd-a1f9-4218-b571-ca0550265e33,159,0.32082900404930115,/transport/ship-crew-health-and-safety,4,Transport,0,0
1061,943981a6-2737-4fa7-abab-465d8ee04ed1,4,0.32069283723831177,/money/large-midsize-business,3,Money,1,0
807,f37dc367-079f-414a-8afe-6953582f62b6,89,0.32063859701156616,/transport/motorcycle-and-moped-tests,4,Transport,0,0
943,cdff65df-d830-4337-9450-d5f1888e0361,5,0.3205321431159973,/regional-and-local-government/local-government-business-rates-relief-refunds-and-rebates,4,Regional and local government,1,0
855,3a6a6a84-cef8-4013-9fc2-0ed2f80f3e20,15,0.3205101788043976,/money/complaints-appeals,3,Money,0,0
1153,0abc0956-a322-43d6-ab44-884d8210767c,3,0.32041746377944946,/environment/environmental-management-land-management-hedgerows,4,Environment,1,0
546,5c9372ef-8cac-4c41-b95b-6117ea052b78,75,0.320121169090271,/education/student-loans-bursaries-and-sponsorship,3,"Education, training and skills",0,0
399,d14d4855-b62a-4a5b-893f-f5d421838f85,19,0.31992799043655396,/environment/parks-trails-nature-reserves,4,Environment,0,0
1040,2dae523e-478e-4f67-af29-8e96efcbf562,6,0.3198782503604889,/environment/farming-food-grants-payments-rural-grants-payments-common-agricultural-policy-cap-reform,5,Environment,0,0
650,26aac667-6c29-4570-ad74-33f8e2e72a18,32,0.31977665424346924,/environment/oil-and-gas-finance-and-taxation,3,Environment,0,0
532,c71f6a1e-2bcd-407e-b0da-6728cb55e4db,24,0.31975752115249634,/transport/driving-licences,3,Transport,0,0
613,4601a835-042a-4e96-afcc-fbf6a40bb9c6,117,0.31967970728874207,/transport/safe-and-compliant-operation-of-vessels,4,Transport,0,0
238,8ff8cf05-a6e6-4757-a896-4fabd9f3229a,593,0.31942814588546753,/defence/working-armed-forces,2,Defence and armed forces,0,0
919,091e8308-ff3c-4c11-89bb-ac4b1d35d246,5,0.31872814893722534,/environment/harbour-orders,3,Environment,1,0
154,e190334d-ba97-4f70-b74e-acc9f43bf66b,93,0.31831681728363037,/entering-staying-uk/immigration-detention,3,Entering and staying in the UK,0,0
506,91486f5f-37b0-401a-8e16-22be5dd1a6e9,255,0.31823205947875977,/housing-local-and-community/building-regulation,3,"Housing, local and community",0,0
965,b80b4aeb-3868-483b-a0f5-9ea8feb1cc47,35,0.31821155548095703,/transport/improvements-to-buses,4,Transport,0,0
37,48884dec-6f44-43b2-ae45-9392ff604959,65,0.31766605377197266,/housing-local-and-community/land-registration-data,3,"Housing, local and community",0,0
908,fbe2ce17-9ee6-4dcb-a523-ae5383d2cf4c,8,0.31737470626831055,/childcare-parenting/refugee-runaway-and-homeless-children,4,"Parenting, childcare and children's services ",0,0
993,426bf4a1-865b-4e4a-81ef-b2abeab6a39d,18,0.3171749413013458,/money/business-tax-vat-vat-returns,4,Money,0,0
1060,1d7e4c59-69bd-4db9-a260-5e88f42b3af0,6,0.31716388463974,/housing-local-and-community/freehold-leasehold-property,3,"Housing, local and community",0,0
538,72241f43-600b-4c34-9205-5a07060a2711,16,0.317161500453949,/defence/military-awards-commemorations,2,Defence and armed forces,0,0
224,1f3d1ae8-aba7-4e02-abbc-6b54e6ff66aa,118,0.31686002016067505,/money/personal-tax-inheritance-tax,3,Money,0,0
846,ff24cafc-c478-40e6-8a5d-754caf3659eb,8,0.31684422492980957,/housing-local-and-community/land-registration-business-mortgage-services,3,"Housing, local and community",0,0
416,07d3b133-dc99-47a9-8213-0a3c14993561,210,0.31659385561943054,/transport/local-roads,4,Transport,0,0
523,66d84061-2900-406b-950a-683a1d908642,35,0.31650254130363464,/environment/environmental-management-wildlife-habitat-conservation-birds,4,Environment,0,0
707,4d18c236-0124-4083-b39d-8da5226fa5c9,18,0.3164401352405548,/education/qualified-teacher-status-qts,4,"Education, training and skills",0,0
1093,8a2141ae-2493-491c-8e5f-2bd23c1a6afe,6,0.3161362409591675,/education/primary-curriculum-key-stage-1-science,4,"Education, training and skills",0,0
251,258c6e6d-4e4e-42f1-a554-30b22f2aebab,347,0.3156696856021881,/education/exam-regulation-and-administration,3,"Education, training and skills",0,0
906,f58ba5d0-5b45-43e4-a374-c2b8b3513b1f,41,0.31553739309310913,/education/data-collection-for-further-education-providers,4,"Education, training and skills",0,0
308,8d767f40-a880-4b03-b6bf-c20799d34b97,113,0.3154086470603943,/transport/speed-limits-and-traffic-cameras,3,Transport,0,0
1073,12c20fab-30e0-40a7-aa33-290eeba4bcca,4,0.3152015209197998,/money/personal-tax-income-tax-special-types-of-pay,4,Money,1,0
307,c1306fc1-117b-477b-acd4-20f3dcf98534,39,0.31494230031967163,/transport/autonomous-road-vehicles,3,Transport,0,0
444,5a345486-f6ab-43a6-bced-52a7301f7273,61,0.31489434838294983,/education/funding-for-16-to-19-year-olds-in-schools,4,"Education, training and skills",0,0
753,66cc145f-9dfd-47db-bb98-457a61668d14,51,0.3144177496433258,/education/further-education-funding-data,4,"Education, training and skills",0,0
293,588f7593-4dd8-46c2-bcaa-c3e99c28d541,187,0.31436020135879517,/transport/rail-franchising,3,Transport,0,0
1152,6a1688d6-c0ed-4b2f-a5ea-aac3748c8394,12,0.3142634630203247,/childcare-parenting/recruiting-and-managing-early-years-staff,4,"Parenting, childcare and children's services ",0,0
581,9300a567-f395-4017-ac88-dd9ce56f676a,80,0.31397709250450134,/transport/lorry-bus-and-trailer-mot-tests,5,Transport,0,0
827,f42cdcd7-2bbe-4fa2-9edc-081a9acda57c,3,0.3138059079647064,/money/business-tax-tobacco-products-duty-payments-and-reliefs,4,Money,1,0
861,bdf22162-6602-431d-820c-fd12611f71e0,21,0.3129430115222931,/crime-justice-and-law/prisons-probation-healthcare,3,"Crime, justice and law",0,0
915,d7adaaf5-cac8-4781-a224-930afd37f174,33,0.31285741925239563,/transport/motorcycle-training,4,Transport,0,0
1150,821b4c29-1ed9-44e1-b22d-a5b3ead1de14,4,0.31263065338134766,/employment/public-service-pensions,3,Work,1,0
1143,d58bd4de-3fee-4953-9654-7551333eebf1,10,0.31256985664367676,/childcare-parenting/child-abduction-cross-border-child-protection,4,"Parenting, childcare and children's services ",0,0
661,ff8f4cd7-05dd-4478-b37b-a9dcd984a810,10,0.31249111890792847,/money/coming-to-uk,3,Money,0,0
905,e9ef07fa-4c34-4126-89c1-6eabfeb92dd3,8,0.31242799758911133,/money/business-tax-investment-schemes-collective-investment-schemes,4,Money,0,0
657,f5c0bf33-6a7f-4c47-aac7-3b8a85a4641e,92,0.3124198913574219,/transport/hs2-business-case,4,Transport,0,0
182,e1d2032c-6a59-4a1a-919c-dc149847dffb,99,0.3118991255760193,/entering-staying-uk/asylum-decisions-appeals,3,Entering and staying in the UK,0,0
1063,1da1c700-cef8-45c4-9bb7-11a4b0003e10,11,0.3116101324558258,/childcare-parenting/local-authorities-early-years,3,"Parenting, childcare and children's services ",0,0
936,a1c6c263-e4ef-4b96-b82f-e070ff157367,10,0.31146058440208435,/business-and-industry/dismissals-redundancies,4,Business and industry,0,0
654,ee2b56e7-7cbe-4e8b-8797-1961240e7c80,11,0.3113155663013458,/education/special-schools-funding,4,"Education, training and skills",0,0
421,7f398764-7f69-4978-8029-373a823ded67,118,0.3110044598579407,/transport/renewable-fuels,4,Transport,0,0
1260,efa6099d-c5a8-4adc-83b7-f149b0d8d6ee,2,0.3108026385307312,/money/business-tax-fuel-duty-payments-and-reliefs,4,Money,1,0
670,7cfca009-f311-43a5-8b44-145ce26986e7,150,0.31065839529037476,/entering-staying-uk/citizenship,3,Entering and staying in the UK,0,0
878,f2c9ec1e-bbdd-45b8-afd7-fab0c9371d4b,10,0.3106362223625183,/regional-and-local-government/devolution,2,Regional and local government,0,0
413,70f0f726-9894-49c2-ad9f-14d59ac70311,91,0.3098197281360626,/regional-and-local-government/scottish-devolution,3,Regional and local government,0,0
1038,3e337520-40a5-46bd-b0a5-6e2464707392,3,0.3097902536392212,/government/technology-guidance-technology-guidance-govuk-verify,4,Government,1,0
866,eccd6ddc-48bb-4707-92e7-fa2a8e0f1aeb,38,0.3097445070743561,/entering-staying-uk/support-asylum-claimants-refugees,3,Entering and staying in the UK,0,0
633,a5db2720-b993-4920-b1c9-cd1014fde5a5,26,0.3090979754924774,/transport/vehicle-recalls,4,Transport,0,0
571,49f0ada8-39f2-482a-8c90-5de0f99b9f5a,123,0.3088127672672272,/business-and-industry/city-deals-and-growth-deals,3,Business and industry,0,0
1029,2bab4a2e-4cee-4849-b6de-828bbd5d98c8,6,0.3087354600429535,/environment/oil-and-gas-fields-and-wells,3,Environment,0,0
108,216cb66b-5da1-4fea-99f1-b2a47d738bb0,197,0.30871114134788513,/transport/rail-passenger-experience,3,Transport,0,0
834,c05fe902-f519-459a-b20d-2a9318d5e1d1,8,0.3086576461791992,/business/business-tax-import-export-customs-freight-simplified-procedures,4,Business and industry,0,0
1070,d5c58fc7-dc3f-4142-a337-039d244b6105,16,0.30847352743148804,/housing-local-and-community/housing-design-and-sustainability,3,"Housing, local and community",0,0
357,7d04af85-f92c-45d5-9472-d2d290f49513,135,0.3077305555343628,/education/as-and-a-level-changes-and-reforms,4,"Education, training and skills",0,0
335,3e460ecf-07eb-4a42-af6a-fca0356a548c,60,0.30763310194015503,/transport/rail-ticketing-and-fares,3,Transport,0,0
541,962df1ac-da3c-4bbc-9cc7-b24df055f543,42,0.3075963854789734,/transport/light-rail-and-trams,3,Transport,0,0
853,a4d954b4-3a64-488c-a0fc-fa91ecb8cf2b,22,0.30715155601501465,/employment/redundancies-dismissals,3,Work,0,0
186,8ac03ef6-84a1-4ab0-8fde-1125599d160d,52,0.30700287222862244,/transport/driver-cpc-training,4,Transport,0,0
1012,792441e6-9c05-4991-beb6-9970d15a5acd,28,0.3067823052406311,/transport/transporting-dangerous-goods,3,Transport,0,0
863,f050ce66-7f5d-4114-bf4b-fe7987561ccc,14,0.30668455362319946,/transport/maritime-passenger-rights,3,Transport,0,0
1111,3ad1e2a6-dfdc-4150-a469-5f4b3cfcf3b5,22,0.3065229654312134,/government/technology-guidance-technology-guidance-digital-outcomes-and-specialists-framework,4,Government,0,0
447,90f19461-cda0-4bd2-bdca-a20f08554c86,6,0.306486576795578,/defence/defence-armed-forces-military-awards-commemorations-veterans,3,Defence and armed forces,0,0
755,99dd7843-4520-4df9-9d47-b2a9aac96981,23,0.30629628896713257,/international/government-topics-foreign-affairs-falkland-islanders-right-to-self-determination,3,International,0,0
450,940fdb1c-495a-4120-a864-f204b3c5c917,45,0.3060268759727478,/business/economic-development-in-coastal-and-seaside-areas,4,Business and industry,0,0
1216,509f422b-de2a-4630-a503-495d6afd4fae,3,0.3060205280780792,/government/technology-guidance-technology-guidance-open-source,4,Government,1,0
809,597de04e-0faa-41e7-9bd7-cf09309d79c4,9,0.3058520555496216,/life-circumstances/births-deaths-marriages-marriage-divorce-child-maintenance,3,Life circumstances,0,0
346,a2a21bb3-15bf-4347-b4db-ceaaabfd9715,217,0.30558186769485474,/transport/hs2-and-the-environment,4,Transport,0,0
990,73a9f875-3715-4661-a643-a7275de80ac8,9,0.30550163984298706,/education/school-complaints-and-whistleblowing,3,"Education, training and skills",0,0
178,0ba27d1c-cfb9-4b0b-a8b9-dc633506096a,192,0.30483362078666687,/transport/ship-crew-training-and-certification,4,Transport,0,0
260,2f4d2d6b-e023-4933-bfdf-a23537783f20,50,0.3047908544540405,/business-and-industry/payroll,4,Business and industry,0,0
615,b408576b-3910-4599-9cfa-d407184e9067,85,0.30436134338378906,/transport/advice-for-drivers,3,Transport,0,0
838,090f8b0b-02f6-446b-b2ec-6000d7cd8322,8,0.3041437864303589,/childcare-parenting/financial-help-when-having-a-baby,3,"Parenting, childcare and children's services ",0,0
734,f55e6f46-32e8-4f5e-9130-8eb58dadf70b,16,0.30409005284309387,/transport/waterways-maritime,3,Transport,0,0
266,fef7e737-6f1a-4ef4-b844-aa24b630ad03,48,0.3040194511413574,/entering-staying-uk/permanent-stay-uk,2,Entering and staying in the UK,0,0
765,02c066d1-658e-4257-95b0-d9af0a358e5d,3,0.30319011211395264,/health-and-social-care/medicines-medical-devices-blood-conferences-and-events,3,Health and social care,1,0
1145,598b403a-b16d-470e-acca-74b7e1d2ed3f,3,0.3031599521636963,/business-and-industry/trade-restrictions-on-exports,4,Business and industry,1,0
668,5605545e-03ca-4520-9519-163ea341bc86,50,0.3028947412967682,/money/expenses-employee-benefits,2,Money,0,0
737,c79ea67b-54f1-46d6-85e6-fd5914cdfe76,13,0.30287808179855347,/environment/farming-food-grants-payments-rural-grants-payments-basic-payment-scheme-bps,5,Environment,0,0
718,6fae7839-999f-4df4-bf13-7ccb75190806,50,0.30285394191741943,/transport/vessel-registration,4,Transport,0,0
946,1fb9f6f4-973c-4279-8310-2655fe339e1f,31,0.30251380801200867,/health-and-social-care/oral-health,4,Health and social care,0,0
155,689bb0dd-bd50-42e0-9195-cfb020bc3ee7,69,0.3022676706314087,/childcare-parenting/inspection-of-childrens-social-care-providers,4,"Parenting, childcare and children's services ",0,0
478,c27bc8d5-f29e-456e-86d2-b52979728dc2,97,0.30107951164245605,/transport/hs2-property,4,Transport,0,0
634,c23cae1f-1084-481b-93f5-6130381bf471,20,0.30072227120399475,/transport/drones,4,Transport,0,0
158,f0ef5339-63d9-4549-9e17-a4372f8c0477,47,0.3005993366241455,/transport/safe-transport-of-dangerous-goods-by-road-and-rail,4,Transport,0,0
456,779a3cc9-2c75-43b9-abc4-435a5cdb5cdc,72,0.30046236515045166,/transport/vessel-design,4,Transport,0,0
310,9129d716-365b-44ba-9856-383423fe1e41,247,0.30021509528160095,/environment/countryside,3,Environment,0,0
130,03c31099-1b0d-41ec-834d-2460a7e2992b,18,0.30013859272003174,/education/inspection-of-boarding-and-residential-schools,4,"Education, training and skills",0,0
920,a4f7ecb6-457a-4b93-bd41-8328652de474,7,0.3000720739364624,/money/personal-tax-savings-investment-tax-tax-efficient-savings-and-investments,4,Money,0,0
974,fc2412f2-77d1-4559-96db-b467cda93990,9,0.2997574806213379,/childcare-parenting/help-for-children-with-a-long-term-illness-or-disability,3,"Parenting, childcare and children's services ",0,0
867,74ad91b0-08f6-438e-af6c-3dabb798fd9e,7,0.2993592321872711,/money/business-tax-money-laundering-regulations-your-role-under-the-regulations,3,Money,0,0
1074,8fd9c1af-16d1-4523-a402-a12593906b61,8,0.29899710416793823,/education/alternative-provision-funding,4,"Education, training and skills",0,0
969,c3096102-cbd6-4af4-b7e6-c82f80774b97,4,0.2979886829853058,/environment/environmental-management-land-management-weeds-and-invasive-non-native-plants,4,Environment,1,0
286,6690703b-ce48-4108-b5f0-75807ff3202e,224,0.2976328730583191,/education/inspection-of-independent-schools,4,"Education, training and skills",0,0
1021,0327386a-a69e-4533-86d0-9f16f7ffa6f7,8,0.2974132299423218,/money/personal-tax-inheritance-tax-working-out-the-tax,4,Money,0,0
797,73e7b79f-398e-46ee-9757-34df58bcfed0,30,0.2972397208213806,/transport/driving-examination,4,Transport,0,0
1043,31be8a8c-38b5-4f73-9567-2eaf468ca286,11,0.2970871031284332,/money/business-tax-paye-registering-and-getting-started,4,Money,0,0
1258,bff7d236-c320-4ea5-87ca-21e1c2a89131,2,0.296795517206192,/environment/oil-and-gas-carbon-capture-and-storage,3,Environment,1,0
1102,0a246667-8d98-45be-af88-2c24e185c9fd,7,0.2967018187046051,/environment/keeping-farmed-animals-shows-fairs-markets,4,Environment,0,0
673,79d0727b-4beb-4a61-8cfe-20a8a54b166a,20,0.2959950864315033,/transport/general-aviation,3,Transport,0,0
562,738e53f4-97df-4d9e-a2f1-8f733d526d84,64,0.2959495186805725,/education/local-authority-schools-funding,4,"Education, training and skills",0,0
320,bce0ea5a-c737-48fe-9bd4-4a76da4e458d,279,0.29455795884132385,/transport/car-driving-tests,4,Transport,0,0
352,06f00af6-3c5a-48bc-ba62-c91d11ad0836,97,0.2944734990596771,/transport/hs2-additional-provisions,4,Transport,0,0
738,3c33e0e1-b6cf-4caf-a38f-0eb0ad6cd907,23,0.2944563925266266,/transport/rail-interoperability,3,Transport,0,0
600,377d3d35-4bc8-45a5-99be-d0ac4f25437f,38,0.29444292187690735,/transport/driving-licence-applications-and-renewals,4,Transport,0,0
389,46d01d88-d6ef-4eb9-aa44-1992c1deacb8,128,0.29428723454475403,/transport/hs2-phase-2b,5,Transport,0,0
1096,6ccfa37d-11b5-4aaf-bd2c-e05e0220c0a9,9,0.29400908946990967,/money/personal-tax-income-tax-rates-allowances-and-reliefs,4,Money,0,0
185,c0d1efd0-0033-4ad3-8f98-9e4a988b0ca5,15,0.2936500310897827,/transport/driver-cpc-training-centres,4,Transport,0,0
176,43994d58-a38e-4f9b-9027-feba44453173,23,0.292969286441803,/transport/personal-driving-licence-information,4,Transport,0,0
1116,be716909-efa9-4c86-a084-6461595aea68,11,0.2927309274673462,/health-and-social-care/dentistry,3,Health and social care,0,0
1046,0eeabf35-794f-44d6-b0aa-ab0e7aed0cb9,8,0.2916218042373657,/transport/wrecks,3,Transport,0,0
922,cc8ee3a9-3fe5-4e72-bc98-5a4d602d3e4f,29,0.29139989614486694,/housing-local-and-community/funding-programmes,3,"Housing, local and community",0,0
1044,c6da0a94-6a82-47c3-97bb-308efda37312,8,0.29097980260849,/education/inspection-of-non-maintained-schools,4,"Education, training and skills",0,0
1210,65deb7be-e3ce-49f3-b72e-547d4727fd00,3,0.29053109884262085,/environment/keeping-farmed-animals-deer-farming,4,Environment,1,0
401,e6e60c46-26da-49b6-8f43-c77f2e27d1f0,59,0.2901316285133362,/transport/ship-equipment,4,Transport,0,0
443,76c256d5-0cfe-4a43-b80f-598922195d13,44,0.2900375425815582,/transport/rail-accessibility,3,Transport,0,0
1104,c5b994b2-29dd-4c7a-973d-3eee43a60c2d,17,0.2897201180458069,/childcare-parenting/health-wellbeing-and-education-of-looked-after-children,4,"Parenting, childcare and children's services ",0,0
928,0edc28be-da72-4b33-8ecf-e83455eeaced,15,0.28950926661491394,/childcare-parenting/mental-health-of-children-and-young-people,3,"Parenting, childcare and children's services ",0,0
209,197ae5ae-7922-4dba-9104-2b0d78ec472e,151,0.2895001769065857,/education/as-and-a-level-subject-content-and-requirements,4,"Education, training and skills",0,0
426,27db05a4-8204-495f-b622-737ced17d2c7,27,0.28938037157058716,/life-circumstances/births-deaths-marriages-marriage-divorce-getting-married,3,Life circumstances,0,0
449,7c1c4dbe-d925-4071-965f-8779d504bd47,28,0.28925126791000366,/health-and-social-care/screening-quality-assurance,3,Health and social care,0,0
1193,f6d035f3-313f-4c10-aa17-ce1853fd9685,7,0.28919026255607605,/money/personal-tax-savings-investment-tax-tax-on-savings,4,Money,0,0
537,2d2607aa-b86e-4ddc-8bef-95e82f964242,46,0.2889414429664612,/transport/hs2-supply-chain,4,Transport,0,0
1209,ef67434e-e406-4b3f-ad51-65e08cbdd291,6,0.2888077199459076,/transport/new-aviation-technology,3,Transport,0,0
1156,89d857bf-11ef-4062-ae69-4272a2eb788d,6,0.2884906530380249,/environment/oil-and-gas-infrastructure-and-decommissioning,3,Environment,0,0
1083,72ae8c45-7817-45a8-94c2-f1257ea6519a,9,0.287788450717926,/money/personal-tax-capital-gains-tax-shares-and-investments,4,Money,0,0
424,f8b6d54b-cc94-4b32-aac4-8cd344087407,31,0.28776368498802185,/employment/working-state-pension,3,Work,0,0
643,4834c569-0259-413c-960b-dccb274fff51,25,0.2873682379722595,/health-and-social-care/population-screening-programmes-infectious-diseases-in-pregnancy,3,Health and social care,0,0
1004,eb6c325f-09b7-4873-86f0-6b2eacc4d27f,6,0.2873328924179077,/childcare-parenting/child-poverty,3,"Parenting, childcare and children's services ",0,0
641,7178bed9-3c8c-40a3-bf98-bda077e4ce68,65,0.2868533432483673,/transport/maritime-enforcement-and-prosecution,3,Transport,0,0
577,79f8bd1c-1ac1-4bd2-b487-3cf2ac1ac331,28,0.28608906269073486,/crime-justice-and-law/legal-aid-for-providers-contracts,3,"Crime, justice and law",0,0
792,520e5c39-ab50-499b-90e0-37cfbd87f784,25,0.28608331084251404,/education/administering-student-funding,4,"Education, training and skills",0,0
1050,7c96a678-25a6-40f3-a170-ce63f9174d00,17,0.2857378125190735,/money/business-tax-vat-paying,4,Money,0,0
448,e883852d-03e7-4490-96d2-7646e82e7745,33,0.28566160798072815,/health-and-social-care/population-screening-programmes-fetal-anomaly,3,Health and social care,0,0
1208,1309a4b3-17b5-40ec-9747-16cd2ef65dc6,4,0.28539395332336426,/health-and-social-care/health-workforce,3,Health and social care,1,0
788,78cfdb08-0629-42d9-80eb-edbf9b36e0c3,44,0.28495705127716064,/education/funding-for-high-needs,3,"Education, training and skills",0,0
981,460718d9-82e4-40a7-bbe8-8824a4a05590,2,0.28461241722106934,/employment/secondments-with-government,2,Work,1,0
75,26b5cfbd-1677-4629-8674-223b67b480c7,26,0.2843538522720337,/childcare-parenting/inspections-of-local-authority-childrens-services,5,"Parenting, childcare and children's services ",0,0
118,cb910f96-f842-4cfc-9e20-d99683504529,255,0.28407594561576843,/education/school-admissions,3,"Education, training and skills",0,0
948,190f2077-b295-4339-b865-729a0283595c,34,0.2839132249355316,/transport/safe-transport-of-dangerous-goods-by-sea,4,Transport,0,0
1088,7cc28ee9-706f-4bbf-99ec-2b26f7d94621,9,0.28373512625694275,/government/technology-guidance-technology-guidance-psn,3,Government,0,0
1177,bff2d196-a07c-4734-98a1-eb2e26a2a33f,3,0.2835043668746948,/government/technology-guidance-technology-guidance-end-user-devices,4,Government,1,0
1180,1ffcf105-c245-427a-9d01-7726a1e6b218,3,0.2835043668746948,/government/technology-guidance-phishing,4,Government,1,0
843,1423ec9f-d62c-40f7-b10e-a2bdf020d8b7,17,0.2833056151866913,/childcare-parenting/divorce-separation-and-legal-issues,2,"Parenting, childcare and children's services ",0,0
800,2a87e67e-3294-4753-9561-511f8a2cbd1a,18,0.28328925371170044,/education/principal-learning-qualifications,4,"Education, training and skills",0,0
544,316c46b0-8bb0-44ce-a6ba-87c1c23ae13b,7,0.2831086218357086,/environment/environmental-management-land-management-pollution,4,Environment,0,0
647,d03f25cd-990e-4883-8ca4-9434b145eb8d,62,0.2826601564884186,/entering-staying-uk/deportation-removals-curtailment,3,Entering and staying in the UK,0,0
1087,96d35811-538f-43cf-9e8a-34202f550785,3,0.2815305292606354,/money/business-tax-stamp-taxes-pay-your-sdlt-bill,4,Money,1,0
697,9bc1fd7a-bf0e-4d94-85cf-07fee4d80d5a,2,0.2806124985218048,/government/govuk-services,3,Government,1,0
219,8dca7d9b-b2de-4224-b2ad-2bfc3943561c,39,0.2799451947212219,/transport/life-saving-appliances,4,Transport,0,0
542,1beeb297-c6fc-40a5-b133-aac3f260a9a2,44,0.2794634699821472,/transport/buses-and-the-environment,4,Transport,0,0
893,26e5c6b4-1d88-4e5d-a365-ee81577eee64,11,0.27943527698516846,/money/business-tax-vat-overseas-businesses-and-uk-vat,4,Money,0,0
649,42c1a780-a448-4653-9892-68e3981a000f,11,0.27853089570999146,/business/environmental-management-water-impound-store-water,3,Environment,0,0
1133,acda4c63-5d0b-45ae-a748-8dae7bc9bcd4,6,0.27822059392929077,/environment/coal-property-development,4,Environment,0,0
425,729ce50a-2439-430e-bbd6-ea6f970ea4bf,9,0.27797266840934753,/business-and-industry/company-registration-filing-running-company-partnerships,4,Business and industry,0,0
955,bf391f7e-19a6-4442-9398-2b68ff9b1f8f,5,0.27751651406288147,/money/dealing-with-hmrc-tax-compliance-non-payment-and-fraud,4,Money,1,0
255,185f0356-a7c8-4c5c-a3fa-9c4d17084d25,12,0.27731335163116455,/money/business-tax-insurance-premium-tax,3,Money,0,0
842,1d0173d8-c1d6-47b4-a6e3-d9638637010f,21,0.2771082818508148,/entering-staying-uk/asylum-children,3,Entering and staying in the UK,0,0
188,4e561949-4a26-49c2-918d-6ad2972c4d33,746,0.27697786688804626,/environment/environmental-permits,2,Environment,0,0
625,080e8f8f-2504-4770-bce8-961b0496aa01,9,0.276363730430603,/business/environmental-management-water-discharge-water,3,Environment,0,0
998,69b9b406-a426-4d54-ba7f-5ef1e44b0827,13,0.27552157640457153,/environment/environmental-management-wildlife-habitat-conservation-invertebrates,4,Environment,0,0
258,43d071e7-a450-4bb6-b34a-c4ed256a226d,369,0.27486640214920044,/health-and-social-care/health-protection-immunisation,3,Health and social care,0,0
783,d93d4641-dd03-4eef-a791-c11146419a30,5,0.2748071849346161,/money/life-insurance-policies,3,Money,1,0
1140,4713d510-9dd1-479f-a2f3-9b2ec5cde0e3,6,0.2745918035507202,/childcare-parenting/data-collection-for-early-years-and-childcare,3,"Parenting, childcare and children's services ",0,0
372,53f410bb-846b-4cfc-8d2a-ba304046beca,6,0.27442094683647156,/business-and-industry/trade-barriers,3,Business and industry,0,0
1170,b39c4582-9106-46af-951d-59d621e92959,3,0.2737572193145752,/environment/commercial-fishing-fisheries-regulations-monitoring-enforcement-fisheries-statistics,4,Environment,1,0
962,b4337707-3195-4d43-b313-0c52eb33450e,3,0.2730723023414612,/environment/commercial-fishing-fisheries-regulations-monitoring-enforcement-sales-notes-and-electronic-recording-systems,4,Environment,1,0
980,b90e86de-2b62-493f-b7dd-31b89ccc97f7,10,0.27301573753356934,/money/personal-tax-income-tax-pensions,4,Money,0,0
930,806df5bb-d913-4ae9-b68e-e7d8a6e740f5,8,0.27286189794540405,/money/dealing-with-hmrc-tax-compliance-disclosing-offshore-income,4,Money,0,0
84,f1e4aad3-bb4c-4850-94ff-8ea5490e9188,47,0.2720126509666443,/transport/crossrail,3,Transport,0,0
1259,e7d5960c-a472-4a4c-b584-52ad49402343,2,0.27185648679733276,/environment/farming-food-grants-payments-state-aid,4,Environment,1,0
586,3addc68e-a3b3-402a-9149-d5a7477e94f8,13,0.271797239780426,/money/dealing-with-hmrc-tax-agent-guidance-money-laundering-regulations,4,Money,0,0
326,5653692e-6f2f-49f0-813a-9301f32e8de9,111,0.27170732617378235,/international/government-topics-foreign-affairs-iran-s-nuclear-programme,3,International,0,0
518,feed3ea6-a235-4405-86fa-00a6e32e9746,16,0.27158015966415405,/regional-and-local-government/pensions,3,Regional and local government,0,0
896,1ce5b33c-b94a-465a-a5ba-267de7da6f70,4,0.27085232734680176,/money/dealing-with-hmrc-tax-agent-guidance-working-with-hmrc-joint-initiatives,4,Money,1,0
491,2fa4db40-ad2e-4797-a7e2-ab37520c68fd,7,0.27011314034461975,/government/technology-guidance-technology-guidance-cloud-strategy,4,Government,0,0
910,f81590ba-856a-4c81-9380-8bb2804120c1,23,0.2697578966617584,/education/initial-teacher-training-funding,3,"Education, training and skills",0,0
1090,1255e19a-f02d-485f-8d5f-000688312bd9,9,0.2696530520915985,/education/financial-help-for-students-who-are-parents-or-carers,3,"Education, training and skills",0,0
1042,bf21a720-6cbc-45d5-ae92-eac2f67781d7,4,0.2691273093223572,/regional-and-local-government/local-government-data-collection-reporting,3,Regional and local government,1,0
439,35887441-acd2-4ec6-ba07-19914ed70961,12,0.26910701394081116,/transport/driving-abroad,4,Transport,0,0
